,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
55934,7LGyAwowOr72wiBTsEL4tL,Deepanshu Ruhela;Swattrex;Chinmayi Sripada;Shekhar Ravjiani;Vishal-Shekhar,Zehnaseeb (Lofi Flip),Zehnaseeb - Lofi Flip,41,192000,False,0.604,0.496,7,-11.411,1,0.0413,0.643,0.0,0.368,0.196,80.0,4,indian
16432,1O9UUjQezyMMwe8RyHyavL,Jean Sibelius;Hannu Norjanen;Friends of Sibelius;Tapiola Chamber Choir,October Classical Playlist,"Songs for American Schools, JS 199: No. 1, Autumn Song",0,49560,False,0.347,0.0312,5,-30.669,0,0.0532,0.992,0.00101,0.0767,0.0877,88.69,4,classical
46669,3PntzTpXooLTw2qUuH0c2Q,Human Resource;Frank De Wulf,Dominator,Dominator - Frank De Wulf Remix,18,186595,False,0.789,0.789,7,-8.36,1,0.0362,0.000191,0.813,0.0824,0.31,126.855,4,happy
72577,0v1QET6Q1YD7HQK4FBT8on,Dayseeker,Sleeptalk,Burial Plot,60,237573,False,0.428,0.873,5,-4.325,1,0.052,0.039,0.0,0.0528,0.222,92.558,4,metalcore
112011,0DMzkDvrWz7GaTNf3257uZ,Serhat Durmus,ME and U,Mirror,53,183199,False,0.476,0.473,0,-8.555,0,0.0397,0.397,7.09e-06,0.0858,0.155,76.171,4,turkish
75798,6DwrfZPgrvEl6ET5zNOOAf,Liquid Mind,Liquid Mind IX: Lullaby,Letting Go,22,557066,False,0.0768,0.131,2,-23.153,1,0.043,0.948,0.797,0.0926,0.0356,80.765,3,new-age
107529,3dgI3RyYktGoAM94LK3DGy,Indochine,Paradize +10 - Edition Deluxe,J'ai demandé à la lune,27,209413,False,0.726,0.636,6,-8.481,0,0.0243,0.392,0.232,0.192,0.546,110.007,4,synth-pop
16641,7sCEGVDNPistGb4I1DbGGe,Luke Howard;Jess Gillam;Jess Gillam Ensemble,Classical Running,Dappled Light,0,251573,False,0.222,0.0456,10,-20.891,0,0.0385,0.993,0.964,0.231,0.0882,128.691,4,classical
102573,76CSHuHKMJxmjmdrNBX2Z3,Jax,Victoria’s Secret (feat. Harper) [The Metal Version],Victoria’s Secret,21,176124,True,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,4,songwriter
92239,391TUcoPonqYykPkSZ5Z9U,The Drifters,Save the Last Dance for Me,Save the Last Dance for Me,63,154960,False,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,4,rockabilly
52594,3CflffOIAzdHEX3VrjYQp0,Stonewall Jackson,Best of Stonewall Jackson,B.J. the D.J.,13,167946,False,0.606,0.32,4,-9.816,1,0.0437,0.799,0.0,0.211,0.754,87.767,4,honky-tonk
65481,30YLyzfEjMQsXj4ZFslAmT,BTS,MAP OF THE SOUL : 7,Make It Right,63,226321,False,0.639,0.706,7,-7.874,1,0.448,0.0104,0.0,0.132,0.259,105.782,4,k-pop
95484,0ibSvySgmrHaWAcOXb0YrA,Maelo Ruiz,Puro Corazón,Vino Para Mi Copa,30,250880,False,0.682,0.748,0,-9.186,1,0.0409,0.516,1.12e-06,0.0847,0.778,168.594,4,salsa
10301,738NMTvIPebyZHBHBQmiZ2,The Chemical Brothers,Baywatch (Music From The Motion Picture),Go,26,261200,True,0.754,0.869,11,-4.819,0,0.0456,0.0106,7.82e-05,0.491,0.54,119.966,4,breakbeat
110944,1T7Yv49uxGhwMIbo105HRC,NG Rezonance,"Syncopy Radio Edits, Vol. 1",Android - Radio Edit,28,162739,False,0.455,0.995,1,-4.646,1,0.104,0.000508,0.862,0.0317,0.295,146.004,4,trance
20779,12eaW6wPDSW4EXNkapb4nK,Jason Derulo;Kodak Black,Good Vibes,Slidin',3,156300,True,0.695,0.884,11,-1.953,0,0.172,0.106,0.0,0.134,0.803,100.088,4,dance
3184,2Sq1Nttn8R9KLijPSD5nGB,GAYLE,Here to Forever - All New Indie,abcdefu (angrier),0,159836,True,0.671,0.599,4,-6.18,1,0.0405,0.0658,0.0,0.101,0.448,121.849,3,alternative
3003,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,93,240400,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,alternative
6434,5MQp0Y0bwFru5xbatuP38t,The Kovenant,Animatronik,The Human Abstract,19,295040,False,0.472,0.992,0,-2.863,1,0.0655,4.67e-05,0.331,0.563,0.616,85.027,4,black-metal
79923,39hqQ6Tko2I2PkQcCAhGoB,Stanton Lanier,So Loved,A Beautiful Thing,28,291967,False,0.328,0.168,5,-23.253,1,0.0555,0.995,0.904,0.08,0.0895,96.467,4,piano
107648,7Kvr4zY7aNcHzhXHmLxVN1,Thompson Twins,Into The Gap,You Take Me Up,26,266160,False,0.7,0.548,5,-13.849,1,0.0443,0.587,0.0,0.0699,0.854,104.553,4,synth-pop
81557,1TRgZ55GFCKSbrTb62rmra,Jass Manak;DIVINE,No Competition,No Competition,67,205500,False,0.868,0.635,10,-6.352,0,0.227,0.164,0.0,0.0898,0.621,90.019,4,pop
34961,10z7WReD8vuqWGqujVVaRX,Salim–Sulaiman;Arijit Singh,Bhoomi 2020,Zinda Dili,33,239431,False,0.488,0.889,4,-4.583,1,0.0669,0.38,0.0,0.13,0.118,124.925,4,folk
105511,1s8qLcoujrMgMnUmzNMjUn,Matt Large,A Wasteland Fairytale,A Prayer for George,28,179750,False,0.566,0.622,11,-6.906,1,0.064,0.0175,0.917,0.0999,0.244,175.882,4,study
78566,706yuILHFLva9aQQBDMmxt,Andreas Lawo,Jetzt ist Schluss,Jetzt ist Schluss,28,229090,False,0.716,0.873,6,-5.716,0,0.0346,0.0723,0.00144,0.208,0.9,131.998,4,party
22975,39lsUA9UsXxOly6beQTDmq,Within The Ruins,Elite,New Holy War,20,222093,False,0.524,0.982,11,-3.318,1,0.112,0.00203,0.00103,0.186,0.37,119.976,3,death-metal
40189,31j38rRemGuqA4z83EQduw,Weslei Santos,Unplugged,Me Deixe Aqui,46,277692,False,0.583,0.217,4,-15.357,1,0.0404,0.859,7.47e-05,0.104,0.261,77.805,4,gospel
78091,38NG9wfK9fRbKkaiZwZWFB,Michelle;Matthias Reim,Karneval 2022 100%,Idiot - Version 2011,0,188026,False,0.732,0.826,11,-4.936,1,0.0353,0.173,0.0,0.352,0.772,129.993,4,party
37567,34cmEDq5SNUTBwELbIiDeh,CHIC,Slow Down Soul,A Warm Summer Night,0,364853,False,0.591,0.569,9,-12.68,0,0.0468,0.397,0.0111,0.175,0.495,135.98,4,funk
13469,7AvEHBPifXyRYIenT3DswP,Mark Farina;Homero Espinosa,Detour Jazz,School Dayz,9,413828,False,0.847,0.813,0,-6.885,1,0.0613,0.00388,0.499,0.113,0.442,118.319,4,chicago-house
109980,5e0cpLRbShZxK2w3LOR5Zb,Amelie Lens,Little Robot EP,Little Robot,32,363880,False,0.606,0.867,10,-8.57,0,0.0559,0.000156,0.834,0.0847,0.033,131.985,4,techno
87197,6ozLwDnOkZBN1yir033PyG,El Coyote Y Su Banda Tierra Santa,Como una Huella Digital,La Loba del Mar,50,143880,False,0.799,0.736,8,-7.189,1,0.0582,0.283,0.000347,0.0265,0.975,106.539,3,r-n-b
101191,1dSkdDSbGN0GhUirvgr3zp,Traditional;London Philharmonic Orchestra;The London Philharmonic Chorus,"Classical Christmas, Vol. 2",Pastoral Symphony (Remastered 2014),0,237766,False,0.412,0.483,7,-10.609,1,0.0411,0.975,0.0243,0.804,0.285,103.281,4,sleep
70353,0q1FMCm6hZhyPomad3LQES,高爾宣 OSN,So Bad,So Bad,56,172118,True,0.741,0.667,6,-3.975,1,0.0401,0.37,0.0,0.0795,0.559,118.032,4,mandopop
31282,2Db4RDun4YmjGcypDB8Av3,DJ Snake;Justin Bieber,Weekend Baby,Let Me Love You,0,205946,False,0.475,0.715,8,-5.371,1,0.058,0.0863,2.67e-05,0.135,0.159,199.892,4,electro
17327,1tLs7pJH2EYNTUQ0eQBROn,Kelvin T;Takeem,Synthetic,On The Floor,19,151261,True,0.769,0.745,6,-6.146,1,0.0469,0.0446,0.764,0.426,0.532,122.986,4,club
99735,0yktt2FVBf1uPKzORvlXiv,Madeline The Person,Beautiful Trending Hits 2022,MEAN!,0,143957,False,0.56,0.436,7,-8.761,1,0.491,0.918,0.0,0.093,0.402,117.907,4,singer-songwriter
8028,0SidD5FXjLY20EffJQDAI7,Ella Fitzgerald,Rockin' Around The Christmas Tree 2022,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues
113258,1D9qrTl2rVrS2XP9RDLLs0,for KING & COUNTRY;Kirk Franklin;Tori Kelly,Burn The Ships (Deluxe Edition: Remixes & Collaborations),TOGETHER,55,206103,False,0.389,0.786,0,-4.392,0,0.138,0.216,8.23e-06,0.198,0.482,178.103,4,world-music
101334,5zW6LPxMUx41TmRrIyEICr,Ambient Rain;Rain Sleep Sounds,Rain Sleep Sounds,Rain Sounds - Loopable With No Fade,42,144000,False,0.246,0.999,7,-22.095,0,0.0916,0.153,0.991,0.939,1e-05,114.56,4,sleep
23329,6WarP4oMloYg0Z8H8IHeDq,CHANEY,Love Again,Love Again,56,190512,False,0.679,0.876,0,-4.86,0,0.0512,0.0874,0.0,0.245,0.383,125.985,4,deep-house
80948,4ccJUGIKd3Ul2IUYetNlWB,Saindhavi,Deiva Thiirumagal (Original Motion Picture Soundtrack),Vizhigalil Oru Vaanavil,56,362533,False,0.697,0.464,5,-8.832,0,0.0254,0.716,0.0112,0.0457,0.382,108.994,4,pop-film
9674,633yLLOTvQTEdvDD4XVnsw,Criolo,Espiral de Ilusão,Menino Mimado,44,227640,False,0.83,0.604,0,-5.25,0,0.0355,0.563,0.00108,0.221,0.82,144.008,4,brazil
28147,5uCb2bQ9HcCY3c7kLq4Iur,Jackie Mittoo,The Keyboard King at Studio One,Darker Shade of Black,40,194293,False,0.689,0.564,6,-7.276,1,0.126,0.149,0.941,0.0909,0.758,87.474,4,dub
45145,2FQYw0yBlvs0Fcdfcju9pd,Cuco Sánchez,El Mariachi,Cargando Con Mi Cruz,31,139386,False,0.54,0.219,7,-10.054,1,0.0293,0.387,0.0,0.247,0.366,81.87,4,guitar
88892,5diYEOacejP4yRkWlYU3Cu,Armandinho;Vitor Isensee,Acústico (Ao Vivo),Eu Sou do Mar - Ao Vivo,45,275969,False,0.72,0.762,5,-6.822,0,0.0731,0.185,0.0,0.673,0.954,146.056,4,reggae
32795,3xGYklu2vMLWm6SKUwe3h6,Usted Señalemelo,II,F.T,35,250538,False,0.495,0.521,11,-6.493,1,0.0332,0.0119,9.48e-05,0.104,0.207,118.052,3,electronic
40803,3WKqfCs9axMYDRW97n9Zh7,Valdeci Aguiar,Vai Dar Tudo Certo,Vai Dar Tudo Certo,38,283226,False,0.386,0.424,7,-11.413,1,0.0293,0.594,0.000987,0.125,0.175,75.561,4,gospel
95639,1BQXC06cTrdSV8NU9Xgzjl,Maelo Ruiz,Amor Y Sentimiento,Dependo Y Dependes,29,286673,False,0.688,0.655,10,-7.135,1,0.0443,0.54,0.0,0.101,0.796,173.312,4,salsa
71576,1wIE2nfv5oF3ld71AriEDP,My Darkest Days,My Darkest Days (Deluxe Edition),Still Worth Fighting For,60,196066,False,0.474,0.873,5,-2.926,0,0.0435,0.00326,0.0,0.188,0.372,115.969,4,metal
68168,5bkpKxDCCTpeW1v2JcFTQ7,Daddy Yankee,Perreo en Halloween,RUMBATÓN,2,248768,False,0.685,0.909,3,-4.034,0,0.0396,0.0471,0.0,0.35,0.922,95.004,4,latino
24853,12uW7uFVE4wRt0hQetrTvl,Plastikman;Richie Hawtin,Closer,Headcase,15,592986,False,0.804,0.188,2,-24.781,1,0.049,0.202,0.964,0.108,0.201,123.989,4,detroit-techno
49269,3gj1uVEbk65EZyd2bGu0QS,B-Front,Dark Moon,Dark Moon - Radio Edit,24,180000,False,0.246,0.763,7,-4.776,1,0.046,0.0592,0.175,0.183,0.0677,149.655,4,hardstyle
100475,2JF6XTiPGGbYOXsLbAnTWx,The Flatliners,Cavalcade,Count Your Bruises,35,186706,False,0.407,0.974,4,-2.779,1,0.091,2.13e-05,3.15e-06,0.0863,0.569,162.083,4,ska
77455,5U1YywsTR6AKpsgHtd3qQF,Bom Gosto;Caju Pra Baixo,Controle do Negão,Controle do Negão,44,169793,False,0.674,0.71,0,-7.503,1,0.0695,0.564,0.0,0.424,0.761,97.043,4,pagode
21236,0QB3BeqsV3yv4h3niUunCn,Juls;Mr Eazi,Best Afrobeat Tunes,Cake,0,151510,True,0.889,0.514,4,-6.38,1,0.17,0.134,0.0,0.0859,0.586,104.976,4,dancehall
41349,0Av7W8Abdx761b2Ey5wo1u,Christian Death;R.Williams,Catastrophe Ballet (feat. R. Williams),The Drowning (feat. R. Williams),25,244960,True,0.592,0.6,2,-18.056,1,0.0504,0.0999,0.0141,0.393,0.304,121.734,4,goth
95513,3pst3dzqdmPzvjjo26VH2z,Guaco,Es Guaco,Un Cigarrillo y un Cafe,32,317813,False,0.523,0.91,9,-7.357,0,0.0377,0.167,0.000899,0.0855,0.924,108.047,4,salsa
84234,2JhJOPGvtqMpj5RQC8cIYf,Deep Purple,Perfect Strangers,Perfect Strangers,66,328426,False,0.521,0.721,2,-7.699,1,0.0254,0.00348,0.0113,0.391,0.611,97.578,4,psych-rock
62192,31B167urAhDwzI4IVmeUcL,Diana Krall;Clayton-Hamilton Jazz Orchestra,Pop Fun and Christmas Music 2022,Let It Snow,0,241240,False,0.513,0.486,5,-6.8,1,0.0784,0.345,0.0,0.0855,0.562,148.372,4,j-pop
99741,2TIw5PyvZZ9N3EzDveEoTi,Rufus Wainwright,All I Want For Christmas Is You,Hallelujah,0,249026,False,0.273,0.196,9,-7.528,0,0.0347,0.885,0.0,0.105,0.421,72.124,4,singer-songwriter
106691,3InPpeohu4RjhY3VP7EWGA,Stefan Sundström,Fisk i en skål,Har någon sett Sabina?,36,257186,False,0.487,0.856,11,-4.253,0,0.0316,0.00519,0.000164,0.179,0.433,108.694,4,swedish
88340,3w11Zj7MbTxQagWtk3W6oz,Sebastian Yatra;Guaynaa,Halloween 2022 Perreo Vol. 1,Chica Ideal,1,183240,False,0.574,0.891,0,-3.665,0,0.157,0.0847,0.0,0.16,0.707,100.978,4,reggae
50950,3Kh0RuR2T1UeiFK2qpNRmj,U.D.O.,Mission No. X,Cry Soldier Cry,43,315520,False,0.5,0.755,11,-5.161,0,0.0316,0.0802,2.32e-05,0.305,0.384,113.977,4,heavy-metal
101432,6QDq5BKqPSqsSRc6wiElIe,Bedtime Baby,Baby Music: Help Your Baby Sleep Through The Night,Nap Time,37,131266,False,0.472,0.114,0,-16.446,1,0.0522,0.992,0.936,0.0897,0.177,130.472,4,sleep
16789,0ybRC3er244EuG42zjm83G,Wolfgang Amadeus Mozart;Concerto Köln;Anton Steck,Mozart - A Classical Dawn,"Les petits riens, K.app.10 (ballet): No. 14 without indication, attr. to Mozart",3,95453,False,0.536,0.248,2,-15.041,1,0.046,0.897,0.758,0.0764,0.406,124.555,4,classical
10034,1GKPne6qMhx5hjvo3foaCj,Noisia;Futurebound,The Resonance IV,Oh Oh - Futurebound Remix,33,226046,False,0.528,0.957,1,-1.265,1,0.114,0.121,0.91,0.144,0.0772,171.992,4,breakbeat
6790,4xshf6LfP4rbee8bIu8CUL,Samael,Aeonics - An Anthology,Rebellion,16,206106,False,0.444,0.88,6,-6.912,0,0.0399,2.74e-06,0.242,0.254,0.444,112.009,4,black-metal
38178,0Ln5tJyLX5qusquBOtq7wf,Kasabian,West Ryder Pauper Lunatic Asylum,Fire,66,252279,False,0.525,0.742,10,-5.643,1,0.0311,0.0874,0.149,0.117,0.179,117.029,4,garage
95730,5EWw2qEEGCqsUgg4jBUbL4,Salserin,Robando Corazones,Niña Amada,28,233000,False,0.695,0.702,2,-3.417,1,0.0383,0.189,8.45e-06,0.0978,0.715,175.009,4,salsa
53155,67O8CWXxPsfz8orZVGMQwf,K-391;Alan Walker;Ahrix,End of Time,End of Time,67,187560,False,0.81,0.7,4,-5.664,0,0.0399,0.267,6.69e-05,0.137,0.193,116.019,4,house
75010,3IEl5LLYsvTEQmnxMaxBQa,Yiruma,SOLO,River Flows In You,56,210562,False,0.385,0.285,9,-19.837,1,0.0583,0.966,0.937,0.111,0.267,137.2,3,new-age
47892,6rG27UkyWVcBXIHtroteuu,Planet Hemp,Os Cães Ladram Mas a Caravana Não Pára,Hip Hop Rio,35,151400,False,0.817,0.962,1,-2.586,1,0.256,0.217,0.0,0.409,0.482,103.63,4,hard-rock
102911,41SIHXoItJqYfl8B8klTrb,Prateek Kuhad,In Tokens & Charms,Held You Tight,33,205918,False,0.675,0.54,1,-11.309,1,0.0503,0.00697,0.00529,0.231,0.562,119.997,4,songwriter
71571,6i4Qi1mJxXjqNIL9HfJhRs,Guns N' Roses,Use Your Illusion II,Civil War,70,462093,False,0.336,0.787,10,-8.803,0,0.0732,0.0793,0.0648,0.32,0.383,140.003,4,metal
26106,2ppkGKabWsSgNV4fvOldQb,Adam Mitchell;Stanley Tucci;Ewan McGregor;Gugu Mbatha-Raw;Ian McKellen;Emma Thompson;Emma Watson;Audra McDonald;Clive Rowe,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Days In The Sun,55,160349,False,0.299,0.269,10,-9.719,1,0.0296,0.938,2.36e-06,0.162,0.161,93.558,4,disney
70448,454G2UvyFpWTfgBADw8YHV,小虎隊,愛,愛,51,269306,False,0.755,0.694,5,-7.908,1,0.0306,0.338,0.0,0.0991,0.427,126.122,4,mandopop
31967,6clzeGvi1CFioMOolbAOlX,Calvin Harris;Justin Timberlake;Halsey;Pharrell Williams,Funk Wav Bounces Vol. 2,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",73,229282,False,0.81,0.733,9,-6.338,1,0.0444,0.276,6.73e-06,0.288,0.9,125.975,4,electro
112643,3wQLbN1jRDawNvHvqyC7wJ,Seksendört,"Ahmet Selçuk İlkan Unutulmayan Şarkılar, Vol. 2 (40 Yıl, 40 Ses, 40 Nefes)",Sarhoş Gibiyim,39,208751,False,0.644,0.733,7,-7.134,1,0.0273,0.0126,0.0,0.194,0.904,93.989,4,turkish
20262,1EFtJ2XXzkHhpb6tcLyauv,Charlie Puth,US Pop 20s,That's Hilarious,1,146855,True,0.714,0.442,6,-5.909,1,0.0605,0.742,0.0,0.114,0.546,108.039,4,dance
100186,3gA09jZ1Ry2nkl5swYnONs,Guachupé,El Club del Amigo,El club del amigo,40,181333,False,0.715,0.902,9,-4.662,1,0.036,0.0814,0.0,0.172,0.768,152.064,4,ska
97461,2enk2whIgJyoe0O9HRQZJV,Avine Vinny;Jorge,Seu Beijo Joga Sujo,Seu Beijo Joga Sujo,49,193424,False,0.377,0.608,0,-4.446,1,0.0313,0.226,0.0,0.119,0.703,100.006,4,sertanejo
